"KB_ID","System","Category","Issue_Title","User_Utterance_Variants","Keywords","Required_Information","Approved_Answer","Followup_Question","Action_Type","Severity","Escalation_Rule","Owner","Confidence_Level","Review_Status","Is_Active","Last_Reviewed","Agent_Guardrail","Source_Row"
"KB-011","DSS","Master Data & Underwriting","ไม่พบแคมเปญในระบบ DSS","ไม่พบแคมเปญในระบบ DSS | ไม่พบแคมเปญในระบบ DSS | ไม่พบแคมเปญในDSS","DSS, Master Data & Underwriting, ไม่พบแคมเปญ DSS, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ไม่พบแคมเปญในระบบ DSS” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","11"
"KB-012","DSS","Master Data & Underwriting","ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ","ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ | ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ | ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ","DSS, Master Data & Underwriting, ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุประกันอุบัติเหตุ PA แล้วผู้รับผลประโยชน์ในหน้าตารางกรมธรรม์ไม่ครบ” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","12"
"KB-013","DSS","Master Data & Underwriting","ในระบบไม่มีเบี้ยตามอายุรถ","ในระบบไม่มีเบี้ยตามอายุรถ | ในระบบไม่มีเบี้ยตามอายุรถ | ในระบบไม่มีเบี้ยตามอายุรถ","DSS, Master Data & Underwriting, ไม่มีเบี้ยตามอายุรถ, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ในระบบไม่มีเบี้ยตามอายุรถ” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","13"
"KB-014","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท Plus” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","14"
"KB-015","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","15"
"KB-016","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3+ หรือ 2+ อุ่นใจ” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","16"
"KB-017","DSS","Master Data & Underwriting","ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก","ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก | ทำไม่ได้ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก | ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก","DSS, Master Data & Underwriting, ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก, IT Helpdesk","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","P3 Normal","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","17"
"KB-018","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++ | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++ | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","18"
"KB-019","DSS","Master Data & Underwriting","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++ | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++ | ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","19"
"KB-020","DSS","Master Data & Underwriting","ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า","ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า | ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า | ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า","DSS, Master Data & Underwriting, ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า, ฝ่ายรับประกันภัยรถยนต์","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า” โดย Agent จะไม่คาดเดาวิธีแก้ไข","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","P3 Normal","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Medium","Ready for Pilot","Active","0","ตอบเฉพาะ Approved_Answer; หากคำถามไม่ตรงหรือข้อมูลไม่ครบให้ถามเพิ่ม/เปิดเคส; ห้ามเดาสาเหตุหรือขั้นตอน","20"
