"KB_ID","Title","Issue_Title","System","Category","Keywords","Approved_Answer","Required_Information","Followup_Question","Action_Type","Escalation_Rule","Owner","Review_Status","Is_Active"
"KB-017","KB-017","ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ไม่สามารถ Custom ได้ เนื่องจากไม่มีเล่มเบี้ยให้เลือก” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Business Support","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-018","KB-018","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3++” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-019","KB-019","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 2++” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-020","KB-020","ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอผูกเล่มเบี้ยประเภท 3++ สบายกระเป๋า” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-021","KB-021","ขอเพิ่มเบี้ยซ่อมห้าง","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มเบี้ยซ่อมห้าง, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มเบี้ยซ่อมห้าง” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-022","KB-022","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 1” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-023","KB-023","ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นหรือผูกเล่มเบี้ยประเภท 3 คุ้มกัน” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-024","KB-024","ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว","DSS","Payment & Credit","DSS, Payment & Credit, ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้า Polisy400 แล้ว, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ตัดวงเงินไม่ผ่าน และค้นหากรมธรรม์ใน DSS ไม่พบ ทั้งที่เข้าระบบ Polisy400 แล้ว” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-025","KB-025","บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก","DSS","System Incident","DSS, System Incident, บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “บันทึกงานประเภท 1 แล้วข้อมูลตรวจสภาพไม่ตรงกับข้อมูลที่บันทึก” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
"KB-026","KB-026","ขอเพิ่มสีรถยนต์ในระบบ DSS","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มสีรถยนต์ DSS, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มสีรถยนต์ในระบบ DSS” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-027","KB-027","ขอเพิ่มรุ่นรถจักรยานยนต์","DSS","Master Data & Underwriting","DSS, Master Data & Underwriting, ขอเพิ่มรุ่นรถจักรยานยนต์, ฝ่ายรับประกันภัยรถยนต์","รายการนี้อยู่ในความรับผิดชอบของฝ่ายรับประกันภัยรถยนต์ กรุณาส่งรายละเอียดที่จำเป็นเพื่อให้ตรวจสอบเรื่อง “ขอเพิ่มรุ่นรถจักรยานยนต์” โดย Agent จะไม่คาดเดาวิธีแก้ไข","รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","กรุณาแจ้ง: รายละเอียดรายการ; เลขอ้างอิงที่เกี่ยวข้อง; ภาพหน้าจอ (ถ้ามี); ชื่อ-นามสกุลผู้แจ้ง","Business Support","เปิดเคสและส่งต่อ ฝ่ายรับประกันภัยรถยนต์","ฝ่ายรับประกันภัยรถยนต์","Approved","Active"
"KB-028","KB-028","ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น","DSS","Renewal","DSS, Renewal, ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น, IT Helpdesk","กรุณาเปิดเคสผ่าน SysAid ในหัวข้อ “ต่ออายุและโอนย้ายงานแล้ว แต่ดึงข้อมูลใน DSS ไม่ขึ้น” พร้อมแนบข้อมูลที่จำเป็น ทีม IT Helpdesk จะตรวจสอบต่อ โดย Agent จะไม่คาดเดาสาเหตุหรือผลการแก้ไข","เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","กรุณาแจ้ง: เลขที่ใบคำขอ; เลขกรมธรรม์; เลขที่หน้าตาราง; ชื่อ-นามสกุล; ภาพหน้าจอหรือข้อความ Error; เวลาที่พบปัญหา","Incident","เปิดเคสและส่งต่อ IT Helpdesk","IT Helpdesk","Approved","Active"
